,fi
angle,0.05871239791342564
distance,0.056498509356354365
interveningOpponents,0.042593813224897525
playType_پنالتی,0.014579989428849416
interveningTeammates,0.011613931624765872
interferenceOnShooter_کم,0.008143030703975151
bodyPart_سایر,0.004769834675156792
bodyPart_سر,0.003647448913736806
playType_جریان بازی,0.0025631375437766835
playType_ضربه آزاد مستقیم,0.0005282856015374413
interferenceOnShooter_متوسط,0.0005203356658085578
playType_مستقیم از کرنر,0.00018548708769043176
minute,0.0
second,0.0
bodyPart_پا,0.0
interferenceOnShooter_زیاد,0.0
